text,label
신경학적 손상과 동반된 척추 골절 상태가 관찰되는 환자가 있습니다,1
현재 태아의 일부분이 보이거나 탯줄 탈출 증상을 가진 환자가 위급 상태입니다,1
환자가 지금 발작 중 상태로 응급실에 방문했습니다,1
호흡정지 상태가 관찰되는 환자가 있습니다,1
현재 중증호흡곤란 증상을 가진 환자가 위급 상태입니다,1
현재 심정지(외상성) 증상을 가진 환자가 위급 상태입니다,1
환자가 중증 호흡곤란 증상을 보이며 위급 상태로 분류되었습니다,1
현재 쇼크 증상을 가진 환자가 위급 상태입니다,1
자신 혹은 타인을 해치려는 구체적인 계획인 있거나 충동을 억제할 수 없는 상태을 호소하는 환자가 있습니다,1
위급 상태로 분류된 환자가 사지의 외상성 절단 증상을 보이고 있습니다,1
환자가 심정지(외상성) 상태로 응급실에 방문했습니다,1
조절되지 않는 행동 상태가 관찰되는 환자가 있습니다,1
위급 상태로 분류된 환자가 중증탈수 증상을 보이고 있습니다,1
위급 상태로 분류된 환자가 체표면적 25% 이상의 중증 화상 증상을 보이고 있습니다,1
"신경학적 손상과 동반된 척추 골절, 두부의 관통상 상태가 관찰되는 환자가 있습니다",1
환자가 체표면적 25% 이상의 중증 화상 증상을 보이며 위급 상태로 분류되었습니다,1
중증탈수을 호소하는 환자가 있습니다,1
태아의 일부분이 보이거나 탯줄 탈출 상태가 관찰되는 환자가 있습니다,1
심정지(비외상성) 상태가 관찰되는 환자가 있습니다,1
자신 혹은 타인을 해치려는 구체적인 계획인 있거나 충동을 억제할 수 없는 상태 상태가 관찰되는 환자가 있습니다,1
환자가 중증탈수 증상을 보이며 위급 상태로 분류되었습니다,1
환자가 무의식(GCS 3-8) 증상을 보이며 위급 상태로 분류되었습니다,1
환자가 태아의 일부분이 보이거나 탯줄 탈출 증상을 보이며 위급 상태로 분류되었습니다,1
조절되지 않는 행동을 호소하는 환자가 있습니다,1
경련중 상태가 관찰되는 환자가 있습니다,1
위급 상태로 분류된 환자가 지금 발작 중 증상을 보이고 있습니다,1
중증호흡곤란을 호소하는 환자가 있습니다,1
위급 상태로 분류된 환자가 자신 혹은 타인을 해치려는 구체적인 계획인 있거나 충동을 억제할 수 없는 상태 증상을 보이고 있습니다,1
환자가 중증호흡곤란 상태로 응급실에 방문했습니다,1
"신경학적 손상과 동반된 척추 골절, 두부의 관통상을 호소하는 환자가 있습니다",1
위급 상태로 분류된 환자가 중증 탈수 증상을 보이고 있습니다,1
현재 신경학적 손상과 동반된 척추 골절 증상을 가진 환자가 위급 상태입니다,1
환자가 임신과 관련된 다량의 질출혈 상태로 응급실에 방문했습니다,1
환자가 심정지(비외상성) 상태로 응급실에 방문했습니다,1
환자가 태아의 일부분이 보이거나 탯줄 탈출 상태로 응급실에 방문했습니다,1
호흡정지을 호소하는 환자가 있습니다,1
환자가 사지의 외상성 절단 증상을 보이며 위급 상태로 분류되었습니다,1
싸움 또는 안전하지 않은 상황을 호소하는 환자가 있습니다,1
임신말기의 질출혈을 호소하는 환자가 있습니다,1
임신과 관련된 다량의 질출혈 상태가 관찰되는 환자가 있습니다,1
환자가 사지의 외상성 절단 상태로 응급실에 방문했습니다,1
사지의 외상성 절단을 호소하는 환자가 있습니다,1
임신과 관련된 다량의 질출혈을 호소하는 환자가 있습니다,1
위급 상태로 분류된 환자가 호흡정지 증상을 보이고 있습니다,1
위급 상태로 분류된 환자가 임신말기의 질출혈 증상을 보이고 있습니다,1
중증 호흡곤란 상태가 관찰되는 환자가 있습니다,1
환자가 싸움 또는 안전하지 않은 상황 증상을 보이며 위급 상태로 분류되었습니다,1
환자가 임신과 관련된 다량의 질출혈 증상을 보이며 위급 상태로 분류되었습니다,1
환자가 조절되지 않는 행동 상태로 응급실에 방문했습니다,1
환자가 임신말기의 질출혈 증상을 보이며 위급 상태로 분류되었습니다,1
중증탈수 상태가 관찰되는 환자가 있습니다,1
현재 체표면적 25% 이상의 중증 화상 증상을 가진 환자가 위급 상태입니다,1
환자가 조절되지 않는 행동 증상을 보이며 위급 상태로 분류되었습니다,1
현재 중증탈수 증상을 가진 환자가 위급 상태입니다,1
현재 임신과 관련된 다량의 질출혈 증상을 가진 환자가 위급 상태입니다,1
환자가 호흡정지 상태로 응급실에 방문했습니다,1
심정지(비외상성)을 호소하는 환자가 있습니다,1
무의식(GCS 3-8) 상태가 관찰되는 환자가 있습니다,1
환자가 경련중 증상을 보이며 위급 상태로 분류되었습니다,1
환자가 중증탈수 상태로 응급실에 방문했습니다,1
심정지(외상성) 상태가 관찰되는 환자가 있습니다,1
환자가 지금 발작 중 증상을 보이며 위급 상태로 분류되었습니다,1
임신말기의 질출혈 상태가 관찰되는 환자가 있습니다,1
무의식(GCS 3-8)을 호소하는 환자가 있습니다,1
위급 상태로 분류된 환자가 중증 호흡곤란 증상을 보이고 있습니다,1
"위급 상태로 분류된 환자가 신경학적 손상과 동반된 척추 골절, 두부의 관통상 증상을 보이고 있습니다",1
지금 발작 중 상태가 관찰되는 환자가 있습니다,1
환자가 체표면적 25% 이상의 중증 화상 상태로 응급실에 방문했습니다,1
쇼크을 호소하는 환자가 있습니다,1
경련중을 호소하는 환자가 있습니다,1
현재 중증 탈수 증상을 가진 환자가 위급 상태입니다,1
환자가 중증 탈수 상태로 응급실에 방문했습니다,1
현재 심정지(비외상성) 증상을 가진 환자가 위급 상태입니다,1
지금 발작 중을 호소하는 환자가 있습니다,1
신경학적 손상과 동반된 척추 골절을 호소하는 환자가 있습니다,1
현재 호흡정지 증상을 가진 환자가 위급 상태입니다,1
위급 상태로 분류된 환자가 싸움 또는 안전하지 않은 상황 증상을 보이고 있습니다,1
환자가 중증 탈수 증상을 보이며 위급 상태로 분류되었습니다,1
위급 상태로 분류된 환자가 조절되지 않는 행동 증상을 보이고 있습니다,1
환자가 심정지(외상성) 증상을 보이며 위급 상태로 분류되었습니다,1
현재 무의식(GCS 3-8) 증상을 가진 환자가 위급 상태입니다,1
위급 상태로 분류된 환자가 심정지(비외상성) 증상을 보이고 있습니다,1
위급 상태로 분류된 환자가 쇼크 증상을 보이고 있습니다,1
환자가 경련중 상태로 응급실에 방문했습니다,1
환자가 자신 혹은 타인을 해치려는 구체적인 계획인 있거나 충동을 억제할 수 없는 상태 증상을 보이며 위급 상태로 분류되었습니다,1
위급 상태로 분류된 환자가 임신과 관련된 다량의 질출혈 증상을 보이고 있습니다,1
현재 지금 발작 중 증상을 가진 환자가 위급 상태입니다,1
현재 사지의 외상성 절단 증상을 가진 환자가 위급 상태입니다,1
체표면적 25% 이상의 중증 화상 상태가 관찰되는 환자가 있습니다,1
현재 싸움 또는 안전하지 않은 상황 증상을 가진 환자가 위급 상태입니다,1
위급 상태로 분류된 환자가 태아의 일부분이 보이거나 탯줄 탈출 증상을 보이고 있습니다,1
현재 조절되지 않는 행동 증상을 가진 환자가 위급 상태입니다,1
환자가 중증 호흡곤란 상태로 응급실에 방문했습니다,1
환자가 호흡정지 증상을 보이며 위급 상태로 분류되었습니다,1
위급 상태로 분류된 환자가 심정지(외상성) 증상을 보이고 있습니다,1
현재 경련중 증상을 가진 환자가 위급 상태입니다,1
환자가 무의식(GCS 3-8) 상태로 응급실에 방문했습니다,1
중증호흡곤란 상태가 관찰되는 환자가 있습니다,1
"환자가 신경학적 손상과 동반된 척추 골절, 두부의 관통상 증상을 보이며 위급 상태로 분류되었습니다",1
"환자가 신경학적 손상과 동반된 척추 골절, 두부의 관통상 상태로 응급실에 방문했습니다",1
사지 말단 부위에 맥박이 없고 차가움 상태가 관찰되는 환자가 있습니다,2
심각 상태로 분류된 환자가 아스피린 복용 가능성 있음 증상을 보이고 있습니다,2
"심각 상태로 분류된 환자가 기타 중요한 가슴통증(잡아째는, 찢어지는 통증) 증상을 보이고 있습니다",2
">324mg/dl, 증상 있음을 호소하는 환자가 있습니다",2
심각 상태로 분류된 환자가 체표면적 25%이상의 화상 증상을 보이고 있습니다,2
심각 상태로 분류된 환자가 심인성 통증 증상을 보이고 있습니다,2
환자가 출혈성 질환(생명이나 사지에 위급한 출혈) 증상을 보이며 심각 상태로 분류되었습니다,2
"환자가 관통손상이나 화학물질, 직접적인 고열에 의한 손상 증상을 보이며 심각 상태로 분류되었습니다",2
"환자가 손,발,얼굴,회음부 부위의 부분 2도 이상의 화상 증상을 보이며 심각 상태로 분류되었습니다",2
"고혈압(수축기혈압≥220혹은이완기혈압≥ 130)증상있음+다음중한가지존재(숨이참,가 슴통증,혼미,급성두통,구역/구토) 상태가 관찰되는 환자가 있습니다",2
환자가 급성/갑작스런 시력 장애 상태로 응급실에 방문했습니다,2
환자가 발작 후 상태 증상을 보이며 심각 상태로 분류되었습니다,2
치아박리(최근 발생하였으며 온전한 치아가 존재)을 호소하는 환자가 있습니다,2
환자가 심인성 통증 상태로 응급실에 방문했습니다,2
발작 후 상태 상태가 관찰되는 환자가 있습니다,2
중등도 탈수을 호소하는 환자가 있습니다,2
"입술, 혀, 입인두의 명백한 부종/부기 상태가 관찰되는 환자가 있습니다",2
"환자가 임신주수>20주, 두통±부종±복부통증± 고혈압 증상을 보이며 심각 상태로 분류되었습니다",2
환자가 목쉰 소리와 언어장애 증상을 보이며 심각 상태로 분류되었습니다,2
환자가 임신과 관련없는 다량의 질출혈 상태로 응급실에 방문했습니다,2
"현재 손,발, 샅고랑 부위(Groin), 얼굴의 중증 화상 증상을 가진 환자가 심각 상태입니다",2
환자가 치명적일수 있는 부정맥의 병력이나 기록 상태로 응급실에 방문했습니다,2
"열,면역억제 상태을 호소하는 환자가 있습니다",2
급성/갑작스런 시력 장애 상태가 관찰되는 환자가 있습니다,2
환자가 절단 상태로 응급실에 방문했습니다,2
환자가 발병시간<3시간 증상을 보이며 심각 상태로 분류되었습니다,2
현재 새로운 국소적 신경학적 증상 증상을 가진 환자가 심각 상태입니다,2
"환자가 얼굴 연조직염, 안와주위부 포함 상태로 응급실에 방문했습니다",2
"현재 머리,가슴,복부의 관통상 증상을 가진 환자가 심각 상태입니다",2
"환자가 >324mg/dl, 증상 있음 증상을 보이며 심각 상태로 분류되었습니다",2
"얼굴 연조직염, 안와주위부 포함 상태가 관찰되는 환자가 있습니다",2
환자가 중증 알러지 반응의 기왕력 상태로 응급실에 방문했습니다,2
환자가 의식변화(GCS 9-13) 증상을 보이며 심각 상태로 분류되었습니다,2
"환자가 열,면역억제 상태 증상을 보이며 심각 상태로 분류되었습니다",2
혈역학적 장애 상태가 관찰되는 환자가 있습니다,2
현재 출혈성 질환(생명이나 사지에 위급한 증상을 가진 환자가 심각 상태입니다,2
환자가 <2시간 상태로 응급실에 방문했습니다,2
"화학물질 노출,눈 상태가 관찰되는 환자가 있습니다",2
"현재 관통손상이나 화학물질, 직접적인 고열에 의한 손상 증상을 가진 환자가 심각 상태입니다",2
심각 상태로 분류된 환자가 두통 또는 의식상태의 변화를 동반한 급성 착란 증상을 보이고 있습니다,2
눈에 이물질이 튄 후 증상 있음을 호소하는 환자가 있습니다,2
체표면적 25%이상의 화상을 호소하는 환자가 있습니다,2
심각 상태로 분류된 환자가 면역억제 상태 증상을 보이고 있습니다,2
"심각 상태로 분류된 환자가 임신주수>20주, 두통±부종±복부통증± 고혈압 증상을 보이고 있습니다",2
현재 단독 복부외상 - 관통상 증상을 가진 환자가 심각 상태입니다,2
